Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error,Original_Predicted_Value,Original_Measured_Value
29,Formula,0.7315102012682657,0.868431049765734,-0.13692084849746833,0.13692084849746833,2.0982905982905975,211.61
30,Formula,0.6817892421670011,0.5235532480688868,0.15823599409811429,0.15823599409811429,1.8516746411483251,157.14
31,Formula,0.49395161290322587,0.4861972901101685,0.007754322793057378,0.007754322793057378,0.9199999999999999,151.24
32,Formula,0.6895161290322582,0.8440547043180955,-0.15453857528583725,0.15453857528583725,1.8900000000000001,207.76
33,Formula,0.5973090849242925,0.7138786881094086,-0.11656960318511611,0.11656960318511611,1.4326530612244899,187.2
34,Formula,0.5463709677419356,0.7588957832088135,-0.21252481546687785,0.21252481546687785,1.1800000000000002,194.31
35,Formula,0.5362903225806452,0.6076358110674939,-0.07134548848684863,0.07134548848684863,1.13,170.42
36,Formula,0.2870720868992759,0.0,0.2870720868992759,0.2870720868992759,-0.10612244897959178,74.45
37,Formula,0.5117264647794603,0.8619095859187033,-0.350183121139243,0.350183121139243,1.0081632653061225,210.58
38,Formula,0.7562359339834961,0.8884386475876915,-0.13220271360419544,0.13220271360419544,2.22093023255814,214.77
39,Formula,0.7035639958376692,0.5414081296694948,0.16215586616817435,0.16215586616817435,1.9596774193548387,159.96
40,Formula,0.7862903225806452,0.9779663163226541,-0.19167599374200883,0.19167599374200883,2.37,228.91
41,Formula,0.4022707979626486,0.703811574015449,-0.30154077605280044,0.30154077605280044,0.4652631578947368,185.61
42,Formula,0.6132215619694398,0.6899455489426364,-0.0767239869731966,0.0767239869731966,1.5115789473684211,183.42
43,Formula,0.41937729003520374,0.5569203494998101,-0.13754305946460632,0.13754305946460632,0.5501113585746101,162.41
44,Formula,0.6268039049235994,0.5822464226921615,0.04455748223143785,0.04455748223143785,1.5789473684210527,166.41
45,Formula,0.7721774193548389,0.8950234266177031,-0.12284600726286421,0.12284600726286421,2.3000000000000003,215.81
46,Formula,0.6270161290322581,0.3945802203368368,0.2324359086954213,0.2324359086954213,1.5799999999999998,136.77
47,Formula,0.8568548387096776,0.8254400405217172,0.03141479818796045,0.03141479818796045,2.72,204.82
48,Formula,0.717741935483871,0.7932759275674307,-0.07553399208355971,0.07553399208355971,2.03,199.74
49,Formula,0.44758064516129037,0.586741800683804,-0.13916115552251362,0.13916115552251362,0.69,167.12
50,Formula,0.5745967741935484,0.8615930100037988,-0.28699623581025047,0.28699623581025047,1.32,210.53
51,Formula,0.5685483870967742,0.6368874256046599,-0.0683390385078857,0.0683390385078857,1.29,175.04
52,Formula,0.7399193548387097,0.8911612004558693,-0.1512418456171596,0.1512418456171596,2.1399999999999997,215.2
53,Formula,0.780599224173132,0.8737495251361277,-0.0931503009629957,0.0931503009629957,2.3417721518987342,212.45
54,Formula,0.5786290322580646,0.48835000633151837,0.09027902592654624,0.09027902592654624,1.34,151.58
55,Formula,0.7338709677419356,0.8749525136127644,-0.14108154587082877,0.14108154587082877,2.11,212.64
56,Formula,0.5342741935483871,0.4605546410029125,0.07371955254547463,0.07371955254547463,1.1199999999999999,147.19
57,Formula,0.7076612903225807,0.5272888438647587,0.18037244645782202,0.18037244645782202,1.98,157.73
58,Formula,0.510704833716169,0.462897302773205,0.04780753094296403,0.04780753094296403,1.0030959752321982,147.56
59,Formula,0.7158334437305426,0.7469925288084083,-0.03115908507786569,0.03115908507786569,2.020533880903491,192.43
60,Formula,0.7479838709677421,0.5597062175509687,0.18827765341677338,0.18827765341677338,2.18,162.85
61,Formula,0.7258064516129034,0.6962770672407242,0.029529384372179113,0.029529384372179113,2.0700000000000003,184.42
62,Formula,0.9254032258064517,0.6683550715461567,0.25704815426029504,0.25704815426029504,3.0600000000000005,180.01
63,Formula,0.6270161290322582,0.3108142332531341,0.3162018957791241,0.3162018957791241,1.5800000000000003,123.54
64,Formula,0.432491132627139,0.5726858300620489,-0.14019469743490987,0.14019469743490987,0.6151560178306092,164.9
65,Formula,0.7559368795142587,0.729327592756743,0.026609286757515727,0.026609286757515727,2.2194469223907225,189.64
66,Formula,0.8306451612903226,0.7840319108522223,0.04661325043810027,0.04661325043810027,2.59,198.28
67,Formula,1.0,0.8216411295428643,0.17835887045713572,0.17835887045713572,3.4299999999999997,204.22
68,Formula,0.7291648178550829,0.7317335697100166,-0.0025687518549336597,0.0025687518549336597,2.0866574965612106,190.02
69,Formula,0.6108870967741936,0.42003292389515,0.1908541728790436,0.1908541728790436,1.5,140.79
70,Formula,0.7023412995309488,1.0,-0.2976587004690512,0.2976587004690512,1.9536128456735056,232.39
