subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category	score
P43146	Q05397	UNIPROT	UNIPROT	DCC	PTK2	up-regulates activity	SIGNOR	SIGNOR	15494734	protein	protein	0.72
SIGNOR-C83	Q01196	SIGNOR	UNIPROT	CyclinA2/CDK2	RUNX1	down-regulates activity	SIGNOR	SIGNOR	17015473	complex	protein	0.2
Q04759	P29350	UNIPROT	UNIPROT	PRKCQ	PTPN6	down-regulates activity	SIGNOR	SIGNOR	35258455	protein	protein	0.2
P31749	P15056	UNIPROT	UNIPROT	AKT1	BRAF	down-regulates activity	SIGNOR	SIGNOR	10869359	protein	protein	0.459
Q9UBE8	Q9NQB0	UNIPROT	UNIPROT	NLK	TCF7L2	down-regulates	SIGNOR	SIGNOR	12556497	protein	protein	0.771
Q8N699	SIGNOR-PH2	UNIPROT	SIGNOR	MYCT1	Apoptosis	up-regulates	SIGNOR	SIGNOR	30283340	protein	phenotype	0.7
Q12913	P07949	UNIPROT	UNIPROT	PTPRJ	RET	down-regulates activity	SIGNOR	SIGNOR	16778204	protein	protein	0.277
P50613	SIGNOR-C456	UNIPROT	SIGNOR	CDK7	CAK complex	form complex	SIGNOR	SIGNOR	30860024	protein	complex	0.959
O14965	Q14863	UNIPROT	UNIPROT	AURKA	POU6F1	down-regulates activity	SIGNOR	SIGNOR	31665313	protein	protein	0.2
Q92830	P68431	UNIPROT	UNIPROT	KAT2A	H3C1	down-regulates activity	SIGNOR	SIGNOR	34811519	protein	protein	0.2
Q9UQM7	Q86UR5	UNIPROT	UNIPROT	CAMK2A	RIMS1	up-regulates	SIGNOR	SIGNOR	12871946	protein	protein	0.348
SIGNOR-C135	P54132	SIGNOR	UNIPROT	SCF-FBW7	BLM	down-regulates quantity by destabilization	SIGNOR	SIGNOR	26028025	complex	protein	0.275
O60260	Q8IWA4	UNIPROT	UNIPROT	PRKN	MFN1	down-regulates quantity	SIGNOR	SIGNOR	20871098	protein	protein	0.2
P35499	CHEBI:29101	UNIPROT	ChEBI	SCN4A	sodium(1+)	up-regulates quantity	SIGNOR	SIGNOR	27262167	protein	chemical	0.8
O94988	P63000	UNIPROT	UNIPROT	FAM13A	RAC1	down-regulates activity	SIGNOR	SIGNOR	32203420	protein	protein	0.434
SIGNOR-C15	Q9H0B6	SIGNOR	UNIPROT	AMPK	KLC2	up-regulates	SIGNOR	SIGNOR	21725060	complex	protein	0.287
CHEBI:91194	Q9UBY5	ChEBI	UNIPROT	3-[({4-[4-({[1-(2-chlorophenyl)ethoxy]carbonyl}amino)-3-methyl-1,2-oxazol-5-yl]phenyl}methyl)sulfanyl]propanoic acid	LPAR3	down-regulates	SIGNOR	SIGNOR	Other	chemical	protein	0.8
P17612	O43164	UNIPROT	UNIPROT	PRKACA	PJA2	up-regulates activity	SIGNOR	SIGNOR	21423175	protein	protein	0.2
P53350	Q9NS56	UNIPROT	UNIPROT	PLK1	TOPORS	up-regulates activity	SIGNOR	SIGNOR	19473992	protein	protein	0.446
O60674	Q92915	UNIPROT	UNIPROT	JAK2	FGF14	up-regulates activity	SIGNOR	SIGNOR	32599005	protein	protein	0.2
P04637	SIGNOR-PH109	UNIPROT	SIGNOR	TP53	Cell_death	up-regulates	SIGNOR	SIGNOR	24212651	protein	phenotype	0.7
P68400	Q05940	UNIPROT	UNIPROT	CSNK2A1	SLC18A2	unknown	SIGNOR	SIGNOR	9045708	protein	protein	0.346
