subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category	score
P56524	Q13950	UNIPROT	UNIPROT	HDAC4	RUNX2	down-regulates	SIGNOR	SIGNOR	22298955	protein	protein	0.525
SIGNOR-C223	SIGNOR-C220	SIGNOR	SIGNOR	NLRC4 inflammasome	Caspase 1 complex	up-regulates activity	SIGNOR	SIGNOR	30288079	complex	complex	0.2
P06239	P60484	UNIPROT	UNIPROT	LCK	PTEN	up-regulates activity	SIGNOR	SIGNOR	11948419	protein	protein	0.374
Q969H0	Q9UBK2	UNIPROT	UNIPROT	FBXW7	PPARGC1A	down-regulates quantity by destabilization	SIGNOR	SIGNOR	26971449	protein	protein	0.399
P12931	P35790	UNIPROT	UNIPROT	SRC	CHKA	up-regulates activity	SIGNOR	SIGNOR	21822308	protein	protein	0.336
Q96S53	Q9Y281	UNIPROT	UNIPROT	TESK2	CFL2	down-regulates activity	SIGNOR	SIGNOR	11418599	protein	protein	0.321
P56945	P18146	UNIPROT	UNIPROT	BCAR1	EGR1	up-regulates quantity by expression	SIGNOR	SIGNOR	22431919	protein	protein	0.2
P31749	Q07352	UNIPROT	UNIPROT	AKT1	ZFP36L1	down-regulates	SIGNOR	SIGNOR	15538381	protein	protein	0.656
P53350	O43524	UNIPROT	UNIPROT	PLK1	FOXO3	down-regulates activity	SIGNOR	SIGNOR	26280018	protein	protein	0.491
Q5VTE0	CHEBI:29154	UNIPROT	ChEBI	EEF1A1P5	Pro-tRNA(Pro)	up-regulates	SIGNOR	SIGNOR	23699257	protein	smallmolecule	0.8
P24863	Q14469	UNIPROT	UNIPROT	CCNC	HES1	up-regulates quantity by expression	SIGNOR	SIGNOR	15546612	protein	protein	0.2
P05556	SIGNOR-C126	UNIPROT	SIGNOR	ITGB1	a7/b1 integrin	form complex	SIGNOR	SIGNOR	10199978	protein	complex	0.772
P42574	Q13635	UNIPROT	UNIPROT	CASP3	PTCH1	down-regulates activity	SIGNOR	SIGNOR	12907805	protein	protein	0.32
P46934	Q13571	UNIPROT	UNIPROT	NEDD4	LAPTM5	up-regulates activity	SIGNOR	SIGNOR	17116753	protein	protein	0.476
Q9UK99	SIGNOR-C529	UNIPROT	SIGNOR	FBXO3	Cullin 1-RBX1-Skp1	up-regulates activity	SIGNOR	SIGNOR	25721664	protein	complex	0.464
CID:25167777	P42336	PUBCHEM	UNIPROT	GSK2126458	PIK3CA	down-regulates	SIGNOR	SIGNOR	Other	chemical	protein	0.8
Q9HBE5	P52333	UNIPROT	UNIPROT	IL21R	JAK3	up-regulates	SIGNOR	SIGNOR	12093291	protein	protein	0.556
P11802	Q14814	UNIPROT	UNIPROT	CDK4	MEF2D	down-regulates	SIGNOR	SIGNOR	21902831	protein	protein	0.28
P25103	P19086	UNIPROT	UNIPROT	TACR1	GNAZ	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.289
P48436	P17676	UNIPROT	UNIPROT	SOX9	CEBPB	down-regulates	SIGNOR	SIGNOR	19254573	protein	protein	0.325
P12931	P04637	UNIPROT	UNIPROT	SRC	TP53	down-regulates quantity by destabilization	SIGNOR	SIGNOR	25071020	protein	protein	0.524
SIGNOR-C215	Q13950	SIGNOR	UNIPROT	SMAD1/5/8/SMAD4	RUNX2	up-regulates	SIGNOR	SIGNOR	11073979	complex	protein	0.593
P52209	CHEBI:57783	UNIPROT	ChEBI	PGD	NADPH(4-)	up-regulates quantity	SIGNOR	SIGNOR	24769394	protein	smallmolecule	0.8
Q9HCE7	A6NI79	UNIPROT	UNIPROT	SMURF1	CCDC69	unknown	SIGNOR	SIGNOR	20804422	protein	protein	0.2
P05156	P01024	UNIPROT	UNIPROT	CFI	C3	down-regulates activity	SIGNOR	SIGNOR	26806831	protein	protein	0.878
P67870	P35568	UNIPROT	UNIPROT	CSNK2B	IRS1	unknown	SIGNOR	SIGNOR	8349691	protein	protein	0.32
P17252	P52565	UNIPROT	UNIPROT	PRKCA	ARHGDIA	down-regulates activity	SIGNOR	SIGNOR	25924946	protein	protein	0.447
CHEBI:76931	CHEBI:16953	ChEBI	ChEBI	Ac-Asp-Glu(3-)	N-acetyl-L-aspartate(2-)	up-regulates quantity	SIGNOR	SIGNOR	10085079	smallmolecule	smallmolecule	0.8
P03952	P14210	UNIPROT	UNIPROT	KLKB1	HGF	up-regulates activity	SIGNOR	SIGNOR	12372819	protein	protein	0.324
P36021	CHEBI:28774	UNIPROT	ChEBI	SLC16A2	3,3',5'-triiodothyronine	down-regulates quantity	SIGNOR	SIGNOR	28153798	protein	smallmolecule	0.8
P43116	P00533	UNIPROT	UNIPROT	PTGER2	EGFR	up-regulates	SIGNOR	SIGNOR	17251915	protein	protein	0.295
SIGNOR-C497	O94972	SIGNOR	UNIPROT	Ub:E2	TRIM37	up-regulates activity	SIGNOR	SIGNOR	34199813	complex	protein	0.2
A5X5Y0	SIGNOR-PH133	UNIPROT	SIGNOR	HTR3E	Excitatory_synaptic_transmission	up-regulates	SIGNOR	SIGNOR	18761359	protein	phenotype	0.7
CHEBI:63608	P10147	ChEBI	UNIPROT	maraviroc	CCL3	down-regulates	SIGNOR	SIGNOR	Other	chemical	protein	0.8
SIGNOR-PF4	P49815	SIGNOR	UNIPROT	Gbeta	TSC2	down-regulates activity	SIGNOR	SIGNOR	15851026	proteinfamily	protein	0.2
Q9Y6G3	SIGNOR-C285	UNIPROT	SIGNOR	MRPL42	39S mitochondrial large ribosomal subunit	form complex	SIGNOR	SIGNOR	25838379	protein	complex	0.696
P11309	Q9UNQ0	UNIPROT	UNIPROT	PIM1	ABCG2	up-regulates activity	SIGNOR	SIGNOR	18056989	protein	protein	0.36
Q9NW38	SIGNOR-C300	UNIPROT	SIGNOR	FANCL	Fanconi anemia core complex	form complex	SIGNOR	SIGNOR	17396147	protein	complex	0.909
SIGNOR-PF24	P38398	SIGNOR	UNIPROT	AKT	BRCA1	up-regulates	SIGNOR	SIGNOR	20085797	proteinfamily	protein	0.2
P51608	SIGNOR-PH169	UNIPROT	SIGNOR	MECP2	Neuron_maturation	up-regulates	SIGNOR	SIGNOR	17532643	protein	phenotype	0.7
P42224	O15524	UNIPROT	UNIPROT	STAT1	SOCS1	up-regulates quantity by expression	SIGNOR	SIGNOR	19482358	protein	protein	0.624
P12931	P20936	UNIPROT	UNIPROT	SRC	RASA1	down-regulates	SIGNOR	SIGNOR	11389730	protein	protein	0.615
P17252	Q96PY5	UNIPROT	UNIPROT	PRKCA	FMNL2	up-regulates activity	SIGNOR	SIGNOR	26256210	protein	protein	0.2
O00141	P28482	UNIPROT	UNIPROT	SGK1	MAPK1	up-regulates activity	SIGNOR	SIGNOR	19447520	protein	protein	0.309
O60381	P14598	UNIPROT	UNIPROT	HBP1	NCF1	down-regulates quantity by repression	SIGNOR	SIGNOR	15024088	protein	protein	0.265
O96017	P04637	UNIPROT	UNIPROT	CHEK2	TP53	up-regulates quantity by stabilization	SIGNOR	SIGNOR	10710310	protein	protein	0.79
SIGNOR-C344	Q99877	SIGNOR	UNIPROT	MSL acetyltransferase	H2BC15	down-regulates activity	SIGNOR	SIGNOR	21726816	complex	protein	0.2
O95248	Q13614	UNIPROT	UNIPROT	SBF1	MTMR2	up-regulates activity	SIGNOR	SIGNOR	12668758	protein	protein	0.635
P17252	Q8IZQ8	UNIPROT	UNIPROT	PRKCA	MYOCD	down-regulates activity	SIGNOR	SIGNOR	26206583	protein	protein	0.2
O60674	O60674	UNIPROT	UNIPROT	JAK2	JAK2	up-regulates activity	SIGNOR	SIGNOR	15121872	protein	protein	0.2
SIGNOR-PF1	Q8N9N5	SIGNOR	UNIPROT	ERK1/2	BANP	down-regulates activity	SIGNOR	SIGNOR	26080397	proteinfamily	protein	0.2
P22681	P00519	UNIPROT	UNIPROT	CBL	ABL1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	20675402	protein	protein	0.614
P17612	Q02952	UNIPROT	UNIPROT	PRKACA	AKAP12	up-regulates activity	SIGNOR	SIGNOR	14657015	protein	protein	0.2
Q96DA2	Q9NRD5	UNIPROT	UNIPROT	RAB39B	PICK1	up-regulates activity	SIGNOR	SIGNOR	25784538	protein	protein	0.374
P19484	Q13496	UNIPROT	UNIPROT	TFEB	MTM1	up-regulates quantity by expression	SIGNOR	SIGNOR	30145926	protein	protein	0.2
P53778	SIGNOR-C218	UNIPROT	SIGNOR	MAPK12	MAPK12/CARM1	form complex	SIGNOR	SIGNOR	29681515	protein	complex	0.362
Q96P31	Q06124	UNIPROT	UNIPROT	FCRL3	PTPN11	up-regulates activity	SIGNOR	SIGNOR	12051764	protein	protein	0.384
P62891	SIGNOR-C287	UNIPROT	SIGNOR	RPL39	60S cytosolic large ribosomal subunit	form complex	SIGNOR	SIGNOR	25901680	protein	complex	0.844
Q96PU5	Q12809	UNIPROT	UNIPROT	NEDD4L	KCNH2	down-regulates quantity by destabilization	SIGNOR	SIGNOR	21463633	protein	protein	0.399
P27361	Q16665	UNIPROT	UNIPROT	MAPK3	HIF1A	up-regulates	SIGNOR	SIGNOR	18519666	protein	protein	0.695
Q14164	Q92844	UNIPROT	UNIPROT	IKBKE	TANK	down-regulates activity	SIGNOR	SIGNOR	10759890	protein	protein	0.742
P09769	Q99798	UNIPROT	UNIPROT	FGR	ACO2	unknown	SIGNOR	SIGNOR	17997986	protein	protein	0.2
P20827	P54764	UNIPROT	UNIPROT	EFNA1	EPHA4	up-regulates	SIGNOR	SIGNOR	9330863	protein	protein	0.822
P11308	O96014	UNIPROT	UNIPROT	ERG	WNT11	up-regulates quantity by expression	SIGNOR	SIGNOR	21242973	protein	protein	0.2
CID:11314340	P31749	PUBCHEM	UNIPROT	(2s)-1-{[5-(3-Methyl-1h-Indazol-5-Yl)pyridin-3-Yl]oxy}-3-Phenylpropan-2-Amine	AKT1	down-regulates activity	SIGNOR	SIGNOR	22037378	chemical	protein	0.8
O76050	P78504	UNIPROT	UNIPROT	NEURL1	JAG1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	26276215	protein	protein	0.707
SIGNOR-C135	Q15398	SIGNOR	UNIPROT	SCF-FBW7	DLGAP5	down-regulates quantity by destabilization	SIGNOR	SIGNOR	15145941	complex	protein	0.273
P43405	Q06187	UNIPROT	UNIPROT	SYK	BTK	up-regulates activity	SIGNOR	SIGNOR	11226282	protein	protein	0.588
Q05655	Q13541	UNIPROT	UNIPROT	PRKCD	EIF4EBP1	down-regulates activity	SIGNOR	SIGNOR	10698949	protein	protein	0.2
Q02156	P49841	UNIPROT	UNIPROT	PRKCE	GSK3B	down-regulates activity	SIGNOR	SIGNOR	21660969	protein	protein	0.268
P52789	CHEBI:58225	UNIPROT	ChEBI	HK2	alpha-D-glucose 6-phosphate(2-)	up-regulates quantity	SIGNOR	SIGNOR	16051738	protein	smallmolecule	0.8
SIGNOR-PF26	Q16821	SIGNOR	UNIPROT	RPS6K	PPP1R3A	up-regulates activity	SIGNOR	SIGNOR	10648825	proteinfamily	protein	0.2
Q13258	P38405	UNIPROT	UNIPROT	PTGDR	GNAL	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.25
P58400	Q14118	UNIPROT	UNIPROT	NRXN1	DAG1	up-regulates activity	SIGNOR	SIGNOR	22626542	protein	protein	0.424
Q9H361	CHEBI:33699	UNIPROT	ChEBI	PABPC3	messenger RNA	up-regulates quantity by stabilization	SIGNOR	SIGNOR	25480299	protein	smallmolecule	0.8
Q02156	P05091	UNIPROT	UNIPROT	PRKCE	ALDH2	up-regulates activity	SIGNOR	SIGNOR	28056995	protein	protein	0.281
Q13387	O14733	UNIPROT	UNIPROT	MAPK8IP2	MAP2K7	up-regulates	SIGNOR	SIGNOR	9733513	protein	protein	0.677
Q92585	P68431	UNIPROT	UNIPROT	MAML1	H3C1	down-regulates activity	SIGNOR	SIGNOR	17300219	protein	protein	0.2
Q14152	SIGNOR-C401	UNIPROT	SIGNOR	EIF3A	EIF3_complex	form complex	SIGNOR	SIGNOR	16920360	protein	complex	0.921
P47901	P63092	UNIPROT	UNIPROT	AVPR1B	GNAS	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.44
P41231	P38405	UNIPROT	UNIPROT	P2RY2	GNAL	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.2
O60674	P00533	UNIPROT	UNIPROT	JAK2	EGFR	up-regulates activity	SIGNOR	SIGNOR	9363897	protein	protein	0.612
Q96EP1	Q14807	UNIPROT	UNIPROT	CHFR	KIF22	down-regulates quantity by destabilization	SIGNOR	SIGNOR	19321445	protein	protein	0.4
SIGNOR-C217	P55087	SIGNOR	UNIPROT	DGC	AQP4	up-regulates quantity	SIGNOR	SIGNOR	22626543	complex	protein	0.307
Q13535	Q99708	UNIPROT	UNIPROT	ATR	RBBP8	up-regulates	SIGNOR	SIGNOR	23273981	protein	protein	0.613
Q14980	Q13885	UNIPROT	UNIPROT	NUMA1	TUBB2A	up-regulates	SIGNOR	SIGNOR	11956313	protein	protein	0.2
P40337	Q9H257	UNIPROT	UNIPROT	VHL	CARD9	down-regulates activity	SIGNOR	SIGNOR	17936701	protein	protein	0.394
Q13464	O43293	UNIPROT	UNIPROT	ROCK1	DAPK3	up-regulates activity	SIGNOR	SIGNOR	25723491	protein	protein	0.306
O75116	O14950	UNIPROT	UNIPROT	ROCK2	MYL12B	up-regulates activity	SIGNOR	SIGNOR	25412762	protein	protein	0.596
CHEBI:6257	P07550	ChEBI	UNIPROT	L-isoprenaline	ADRB2	up-regulates activity	SIGNOR	SIGNOR	31160049	chemical	protein	0.8
CHEBI:61076	Q92769	ChEBI	UNIPROT	belinostat	HDAC2	down-regulates activity	SIGNOR	SIGNOR	20139990	chemical	protein	0.8
Q8TCG5	CHEBI:17490	UNIPROT	ChEBI	CPT1C	O-palmitoyl-L-carnitine	up-regulates quantity	SIGNOR	SIGNOR	14517221	protein	smallmolecule	0.8
P18031	P10912	UNIPROT	UNIPROT	PTPN1	GHR	down-regulates activity	SIGNOR	SIGNOR	12907755	protein	protein	0.5
P08254	P07585	UNIPROT	UNIPROT	MMP3	DCN	down-regulates quantity by destabilization	SIGNOR	SIGNOR	9148753	protein	protein	0.672
P45985	Q16539	UNIPROT	UNIPROT	MAP2K4	MAPK14	up-regulates activity	SIGNOR	SIGNOR	7535770	protein	protein	0.591
P35813	P50750	UNIPROT	UNIPROT	PPM1A	CDK9	down-regulates activity	SIGNOR	SIGNOR	18829461	protein	protein	0.494
P53350	Q7L2Z9	UNIPROT	UNIPROT	PLK1	CENPQ	down-regulates quantity by destabilization	SIGNOR	SIGNOR	25670858	protein	protein	0.587
SIGNOR-C13	P06703	SIGNOR	UNIPROT	NfKb-p65/p50	S100A6	up-regulates quantity by expression	SIGNOR	SIGNOR	12859951	complex	protein	0.2
O60674	O60674	UNIPROT	UNIPROT	JAK2	JAK2	unknown	SIGNOR	SIGNOR	9111318	protein	protein	0.2
Q16671	Q04771	UNIPROT	UNIPROT	AMHR2	ACVR1	up-regulates	SIGNOR	SIGNOR	14746809	protein	protein	0.552
Q9H2X6	Q9P1Z0	UNIPROT	UNIPROT	HIPK2	ZBTB4	down-regulates activity	SIGNOR	SIGNOR	19448668	protein	protein	0.38
P42574	Q13464	UNIPROT	UNIPROT	CASP3	ROCK1	up-regulates	SIGNOR	SIGNOR	11283607	protein	protein	0.733
Q7Z6J0	Q15011	UNIPROT	UNIPROT	SH3RF1	HERPUD1	up-regulates activity	SIGNOR	SIGNOR	20976103	protein	protein	0.325
Q04759	O60341	UNIPROT	UNIPROT	PRKCQ	KDM1A	down-regulates activity	SIGNOR	SIGNOR	29311580	protein	protein	0.259
P04049	P98170	UNIPROT	UNIPROT	RAF1	XIAP	up-regulates activity	SIGNOR	SIGNOR	16964381	protein	protein	0.506
O14497	SIGNOR-C92	UNIPROT	SIGNOR	ARID1A	SWI/SNF complex	form complex	SIGNOR	SIGNOR	15627498	protein	complex	0.791
P08913	P09471	UNIPROT	UNIPROT	ADRA2A	GNAO1	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.398
O14920	Q99704	UNIPROT	UNIPROT	IKBKB	DOK1	up-regulates	SIGNOR	SIGNOR	15574499	protein	protein	0.253
P01031	P21730	UNIPROT	UNIPROT	C5	C5AR1	up-regulates activity	SIGNOR	SIGNOR	1847994	protein	protein	0.756
Q9Y297	P19838	UNIPROT	UNIPROT	BTRC	NFKB1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	10835356	protein	protein	0.588
SIGNOR-C2	SIGNOR-C2	SIGNOR	SIGNOR	mTORC2	mTORC2	up-regulates activity	SIGNOR	SIGNOR	10702316	complex	complex	0.682
CID:73051434	P55072	PUBCHEM	UNIPROT	CB-5083	VCP	down-regulates activity	SIGNOR	SIGNOR	26565666	chemical	protein	0.8
P21730	P11215	UNIPROT	UNIPROT	C5AR1	ITGAM	up-regulates quantity by expression	SIGNOR	SIGNOR	1847994	protein	protein	0.37
Q6ZUJ8	SIGNOR-C156	UNIPROT	SIGNOR	PIK3AP1	PI3K	up-regulates	SIGNOR	SIGNOR	22187458	protein	complex	0.519
P18146	Q99988	UNIPROT	UNIPROT	EGR1	GDF15	up-regulates quantity by expression	SIGNOR	SIGNOR	17715378	protein	protein	0.38
P15531	Q8NC67	UNIPROT	UNIPROT	NME1	NETO2	down-regulates quantity by repression	SIGNOR	SIGNOR	17671192	protein	protein	0.257
Q9Y572	Q13263	UNIPROT	UNIPROT	RIPK3	TRIM28	down-regulates activity	SIGNOR	SIGNOR	34419074	protein	protein	0.2
P51812	P25963	UNIPROT	UNIPROT	RPS6KA3	NFKBIA	down-regulates quantity by destabilization	SIGNOR	SIGNOR	20385620	protein	protein	0.369
SIGNOR-C172	SIGNOR-PH7	SIGNOR	SIGNOR	AD/b2 integrin	Cell_adhesion	up-regulates	SIGNOR	SIGNOR	25388208	complex	phenotype	0.7
SIGNOR-C311	SIGNOR-C317	SIGNOR	SIGNOR	Fibrinogen	Fibrin	form complex	SIGNOR	SIGNOR	18544683	complex	complex	0.2
CHEBI:28790	P34969	ChEBI	UNIPROT	serotonin	HTR7	up-regulates activity	SIGNOR	SIGNOR	25601315	smallmolecule	protein	0.8
CHEBI:45716	Q9UQL6	ChEBI	UNIPROT	vorinostat	HDAC5	down-regulates activity	SIGNOR	SIGNOR	20139990	chemical	protein	0.8
Q9H4B4	P30307	UNIPROT	UNIPROT	PLK3	CDC25C	unknown	SIGNOR	SIGNOR	10557092	protein	protein	0.73
P42677	SIGNOR-C286	UNIPROT	SIGNOR	RPS27	40S cytosolic small ribosomal subunit	form complex	SIGNOR	SIGNOR	25901680	protein	complex	0.87
Q08431	SIGNOR-C178	UNIPROT	SIGNOR	MFGE8	Av/b5 integrin	up-regulates activity	SIGNOR	SIGNOR	31958465	protein	complex	0.525
CHEBI:92401	P56524	ChEBI	UNIPROT	6-(1,3-dioxo-2-benzo[de]isoquinolinyl)-N-hydroxyhexanamide	HDAC4	down-regulates activity	SIGNOR	SIGNOR	20139990	chemical	protein	0.8
Q14141	SIGNOR-C71	UNIPROT	SIGNOR	SEPTIN6	SEPT6/SEPT2	form complex	SIGNOR	SIGNOR	16914550	protein	complex	0.2
P12931	P40763	UNIPROT	UNIPROT	SRC	STAT3	up-regulates activity	SIGNOR	SIGNOR	14551213	protein	protein	0.788
O43524	Q92574	UNIPROT	UNIPROT	FOXO3	TSC1	up-regulates quantity	SIGNOR	SIGNOR	20371605	protein	protein	0.448
CHEBI:10119	P35367	ChEBI	UNIPROT	ziprasidone	HRH1	down-regulates activity	SIGNOR	SIGNOR	8935801	chemical	protein	0.8
O75582	P54253	UNIPROT	UNIPROT	RPS6KA5	ATXN1	up-regulates quantity by stabilization	SIGNOR	SIGNOR	23719381	protein	protein	0.26
O00141	P15056	UNIPROT	UNIPROT	SGK1	BRAF	down-regulates activity	SIGNOR	SIGNOR	11410590	protein	protein	0.345
P68104	CHEBI:29159	UNIPROT	ChEBI	EEF1A1	Trp-tRNA(Trp)	up-regulates	SIGNOR	SIGNOR	23699257	protein	smallmolecule	0.8
Q7Z434	P01574	UNIPROT	UNIPROT	MAVS	IFNB1	up-regulates quantity by expression	SIGNOR	SIGNOR	22588174	protein	protein	0.487
Q92945	P12931	UNIPROT	UNIPROT	KHSRP	SRC	up-regulates quantity by expression	SIGNOR	SIGNOR	9858532	protein	protein	0.271
CHEBI:5558	P18825	ChEBI	UNIPROT	Guanfacine	ADRA2C	up-regulates activity	SIGNOR	SIGNOR	9605427	chemical	protein	0.8
P28482	O75582	UNIPROT	UNIPROT	MAPK1	RPS6KA5	up-regulates	SIGNOR	SIGNOR	11940578	protein	protein	0.617
O60315	P12830	UNIPROT	UNIPROT	ZEB2	CDH1	down-regulates quantity by repression	SIGNOR	SIGNOR	15311212	protein	protein	0.486
P23443	Q53EL6	UNIPROT	UNIPROT	RPS6KB1	PDCD4	down-regulates	SIGNOR	SIGNOR	18296647	protein	protein	0.612
SIGNOR-C382	SIGNOR-C150	SIGNOR	SIGNOR	MCC	APC-c	down-regulates activity	SIGNOR	SIGNOR	25092294	complex	complex	0.794
Q5VZM2	SIGNOR-C116	UNIPROT	SIGNOR	RRAGB	RAGBD	form complex	SIGNOR	SIGNOR	20381137	protein	complex	0.781
Q9Y3V2	Q16665	UNIPROT	UNIPROT	RWDD3	HIF1A	up-regulates	SIGNOR	SIGNOR	17956732	protein	protein	0.458
CHEBI:58289	CHEBI:58702	ChEBI	ChEBI	2-phosphonato-D-glycerate(3-)	phosphonatoenolpyruvate	up-regulates quantity	SIGNOR	SIGNOR	29767008	smallmolecule	smallmolecule	0.8
Q06187	P16885	UNIPROT	UNIPROT	BTK	PLCG2	up-regulates	SIGNOR	SIGNOR	11606584	protein	protein	0.777
SIGNOR-C38	P24928	SIGNOR	UNIPROT	CyclinK/CDK13	POLR2A	up-regulates activity	SIGNOR	SIGNOR	32917631	complex	protein	0.633
P49841	O95863	UNIPROT	UNIPROT	GSK3B	SNAI1	down-regulates	SIGNOR	SIGNOR	15448698	protein	protein	0.558
O15530	P17252	UNIPROT	UNIPROT	PDPK1	PRKCA	up-regulates	SIGNOR	SIGNOR	15209375	protein	protein	0.415
O00141	P42568	UNIPROT	UNIPROT	SGK1	MLLT3	down-regulates activity	SIGNOR	SIGNOR	25817867	protein	protein	0.51
P53804	P31749	UNIPROT	UNIPROT	TTC3	AKT1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	20059950	protein	protein	0.396
P21359	SIGNOR-PF92	UNIPROT	SIGNOR	NF1	Adenylate_cyclase	up-regulates	SIGNOR	SIGNOR	24431436	protein	proteinfamily	0.398
SIGNOR-C189	P37231	SIGNOR	UNIPROT	SETDB1/NLK/CHD7	PPARG	down-regulates activity	SIGNOR	SIGNOR	21952300	complex	protein	0.454
Q15831	Q14680	UNIPROT	UNIPROT	STK11	MELK	up-regulates	SIGNOR	SIGNOR	16216881	protein	protein	0.2
CHEBI:119915	P35372	ChEBI	UNIPROT	fentanyl	OPRM1	up-regulates activity	SIGNOR	SIGNOR	9686407	chemical	protein	0.8
Q9Y230	SIGNOR-C498	UNIPROT	SIGNOR	RUVBL2	INO80 complex	form complex	SIGNOR	SIGNOR	25016522	protein	complex	0.698
Q9GZU7	P24928	UNIPROT	UNIPROT	CTDSP1	POLR2A	up-regulates activity	SIGNOR	SIGNOR	22137580	protein	protein	0.432
Q15831	Q13131	UNIPROT	UNIPROT	STK11	PRKAA1	up-regulates activity	SIGNOR	SIGNOR	16054095	protein	protein	0.599
SIGNOR-C511	SIGNOR-PH213	SIGNOR	SIGNOR	Scribble_complex_DLG1-LLGL1_variant	Cell_polarity	up-regulates	SIGNOR	SIGNOR	23397623	complex	phenotype	0.7
P14384	P69905	UNIPROT	UNIPROT	CPM	HBA1	down-regulates activity	SIGNOR	SIGNOR	8635221	protein	protein	0.2
P35354	CID:159	UNIPROT	PUBCHEM	PTGS2	Prostacycline	up-regulates	SIGNOR	SIGNOR	11751058	protein	smallmolecule	0.8
Q9UKA1	O95863	UNIPROT	UNIPROT	FBXL5	SNAI1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	24157836	protein	protein	0.51
P41212	Q96PG8	UNIPROT	UNIPROT	ETV6	BBC3	up-regulates quantity by expression	SIGNOR	SIGNOR	16828711	protein	protein	0.2
O00141	P48764	UNIPROT	UNIPROT	SGK1	SLC9A3	up-regulates activity	SIGNOR	SIGNOR	21054167	protein	protein	0.432
Q9Y285	SIGNOR-C473	UNIPROT	SIGNOR	FARSA	Phenylalanyl-tRNA synthetase	form complex	SIGNOR	SIGNOR	20223217	protein	complex	0.994
SIGNOR-PF72	P46937	SIGNOR	UNIPROT	α-Catenin	YAP1	down-regulates activity	SIGNOR	SIGNOR	23431053	proteinfamily	protein	0.2
SIGNOR-C349	Q9UQM7	SIGNOR	UNIPROT	NMDA receptor_2C	CAMK2A	up-regulates activity	SIGNOR	SIGNOR	11052931	complex	protein	0.6
P46100	O96006	UNIPROT	UNIPROT	ATRX	ZBED1	up-regulates activity	SIGNOR	SIGNOR	22021382	protein	protein	0.414
Q8N2Q7	Q9HDB5	UNIPROT	UNIPROT	NLGN1	NRXN3	up-regulates activity	SIGNOR	SIGNOR	18923512	protein	protein	0.828
P01375	Q9Y219	UNIPROT	UNIPROT	TNF	JAG2	up-regulates quantity by expression	SIGNOR	SIGNOR	14586405	protein	protein	0.318
Q08209	SIGNOR-C155	UNIPROT	SIGNOR	PPP3CA	Calcineurin	form complex	SIGNOR	SIGNOR	14623295	protein	complex	0.954
Q14289	Q14289	UNIPROT	UNIPROT	PTK2B	PTK2B	up-regulates	SIGNOR	SIGNOR	15105428	protein	protein	0.2
P39023	SIGNOR-C287	UNIPROT	SIGNOR	RPL3	60S cytosolic large ribosomal subunit	form complex	SIGNOR	SIGNOR	25901680	protein	complex	0.857
Q9UNE7	P10275	UNIPROT	UNIPROT	STUB1	AR	down-regulates quantity by destabilization	SIGNOR	SIGNOR	27007160	protein	protein	0.479
Q9BY78	Q13501	UNIPROT	UNIPROT	RNF26	SQSTM1	up-regulates activity	SIGNOR	SIGNOR	27368102	protein	protein	0.358
Q13387	P45984	UNIPROT	UNIPROT	MAPK8IP2	MAPK9	up-regulates	SIGNOR	SIGNOR	10490659	protein	protein	0.571
Q8IXW5	P24928	UNIPROT	UNIPROT	RPAP2	POLR2A	up-regulates activity	SIGNOR	SIGNOR	22137580	protein	protein	0.737
SIGNOR-C497	P53804	SIGNOR	UNIPROT	Ub:E2	TTC3	up-regulates activity	SIGNOR	SIGNOR	34199813	complex	protein	0.2
P06213	Q92569	UNIPROT	UNIPROT	INSR	PIK3R3	unknown	SIGNOR	SIGNOR	7542745	protein	protein	0.614
Q9UNE7	P06730	UNIPROT	UNIPROT	STUB1	EIF4E	down-regulates quantity by destabilization	SIGNOR	SIGNOR	28852129	protein	protein	0.333
O60942	SIGNOR-PH178	UNIPROT	SIGNOR	RNGTT	mRNA_capping	up-regulates quantity	SIGNOR	SIGNOR	9512541	protein	phenotype	0.7
P62318	SIGNOR-C478	UNIPROT	SIGNOR	SNRPD3	U4/U6.U5 snRNP complex	form complex	SIGNOR	SIGNOR	30765414	protein	complex	0.828
P27361	P49815	UNIPROT	UNIPROT	MAPK3	TSC2	down-regulates activity	SIGNOR	SIGNOR	15851026	protein	protein	0.693
P16220	P15172	UNIPROT	UNIPROT	CREB1	MYOD1	up-regulates quantity by expression	SIGNOR	SIGNOR	21902831	protein	protein	0.462
Q9NWZ3	Q96FA3	UNIPROT	UNIPROT	IRAK4	PELI1	up-regulates activity	SIGNOR	SIGNOR	19264966	protein	protein	0.658
