EndPathways	QueryNode	EndNode	Path_String	relations_path	Path_Score	Path_Length	Final_Effect	Effect	n	mean	sd	zscore
GLUTAMINOLYSIS	GLUCOCORTICOID	GLUTAMINOLYSIS	GLUCOCORTICOID-->NR3C1--|JUN-->GLS-->GLUTAMINOLYSIS	SIGNOR-268048;SIGNOR-251679;SIGNOR-268035;SIGNOR-259999	1.446	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.6181304165517685
GLUTAMINOLYSIS	CDK1	GLUTAMINOLYSIS	CDK1-->TP53--|GMPS--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-84256;SIGNOR-267342;SIGNOR-267340;SIGNOR-268016	1.565	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.386035678594231
GLUTAMINOLYSIS	JUN	GLUTAMINOLYSIS	JUN-->GLS-->GLUTAMINOLYSIS	SIGNOR-268035;SIGNOR-259999	0.976	2	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-3.5348071126865794
GLUTAMINOLYSIS	JUN	GLUTAMINOLYSIS	JUN-->GLS-->L-GLUTAMATE(1-)-->L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-268035;SIGNOR-266910;SIGNOR-267822;SIGNOR-268016	1.376	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.754656732997379
GLUTAMINOLYSIS	PARP1	GLUTAMINOLYSIS	PARP1-->TP53--|GMPS--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-261321;SIGNOR-267342;SIGNOR-267340;SIGNOR-268016	1.584	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.348978535558994
GLUTAMINOLYSIS	TFAP2B	GLUTAMINOLYSIS	TFAP2B-->TP53-->GLS2--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-255422;SIGNOR-268041;SIGNOR-266909;SIGNOR-268009	1.56	4	-1	down-regulates	8203	2.7883721809094233	0.5127216629175434	-2.395787558340346
GLUTAMINOLYSIS	NITRIC_OXIDE	GLUTAMINOLYSIS	NITRIC_OXIDE-->NFKB-P65/P50-->JUN-->GLS-->GLUTAMINOLYSIS	SIGNOR-255350;SIGNOR-216337;SIGNOR-268035;SIGNOR-259999	1.624	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.2709634975900737
GLUTAMINOLYSIS	SIRT7	GLUTAMINOLYSIS	SIRT7--|TP53-->GLS2--|GLUTAMINE-->GLUTAMINOLYSIS	SIGNOR-160539;SIGNOR-268041;SIGNOR-266909;SIGNOR-268009	1.447	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.6161800406025453
GLUTAMINOLYSIS	MAPKAPK5	GLUTAMINOLYSIS	MAPKAPK5-->TP53--|GMPS--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-152847;SIGNOR-267342;SIGNOR-267340;SIGNOR-268016	1.383	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.7410041013528175
GLUTAMINOLYSIS	DUSP6	GLUTAMINOLYSIS	DUSP6--|MAPK3-->CAD--|L-GLUTAMINE_ZWITTERION-->GLUTAMINOLYSIS	SIGNOR-103149;SIGNOR-137179;SIGNOR-267418;SIGNOR-268016	1.437	4	1	up-regulates	8203	2.7883721809094233	0.5127216629175434	-2.6356838000947755
